vul_id,pkg_name,vul_introduced,vul_fixed,repo_url
GHSA-9cq4-mhmr-84gm,jasmin,0.0.3,0.0.2,
GHSA-qfmr-6qvh-49gm,knockout,0,3.5.0,
GHSA-hgch-jjmr-gp7w,safer-eval,0,1.3.2,
GHSA-v26w-gcxh-v4r7,just-safe-set,1.0.0,2.2.2,https://github.com/angus-c/just
GHSA-4p35-cfcx-8653,parse-url,0,6.0.1,
GHSA-x44x-r84w-8v67,lemonldap-ng-handler,0,0.5.2,https://github.com/LemonLDAPNG/node-lemonldap-ng-handler
GHSA-j6p2-cx3w-6jcp,backbone,0,0.5.0,
GHSA-8cv5-p934-3hwp,fast-csv,0,4.3.6,https://github.com/C2FO/fast-csv
GHSA-8cv5-p934-3hwp,@fast-csv/parse,0,4.3.6,https://github.com/C2FO/fast-csv
GHSA-4vj3-f849-5r48,snyk-broker,0,4.80.0,
GHSA-4v2w-h9jm-mqjg,systeminformation,0,4.30.5,
GHSA-593v-wcqx-hq2w,parse-server,4.0.0,4.5.2,https://github.com/parse-community/parse-server
GHSA-593v-wcqx-hq2w,parse-server,4.6.0,4.10.0,https://github.com/parse-community/parse-server
GHSA-54px-mhwv-5v8x,convert-svg-core,0,0.6.3,https://github.com/neocotic/convert-svg
GHSA-8r69-3cvp-wxc3,apollo-server-core,3.0.0,3.11.0,https://github.com/apollographql/apollo-server
GHSA-8r69-3cvp-wxc3,@apollo/server,0,4.1.0,https://github.com/apollographql/apollo-server
GHSA-332q-7ff2-57h2,undefsafe,0,2.0.3,https://github.com/remy/undefsafe
GHSA-c6rx-gxqv-vr5j,nemo-appium,0,0.0.9,https://github.com/paypal/nemo-appium
GHSA-52mq-6jcv-j79x,matrix-react-sdk,0,3.15.0,
GHSA-8687-vv9j-hgph,mongoose,5.0.0,5.7.5,
GHSA-8687-vv9j-hgph,mongoose,0,4.13.21,
GHSA-m6j2-v3gq-45r5,aurelia-framework,0,1.4.1,https://github.com/aurelia/framework
GHSA-j3g2-m5jj-6336,hapi,0,11.1.4,
GHSA-23fp-fmrv-f5px,strapi,0,3.0.0-beta.18.4,
GHSA-cmcx-xhr8-3w9p,uap-core,0,0.7.3,
GHSA-c429-5p7v-vgjp,@hapi/hoek,0,8.5.1,
GHSA-c429-5p7v-vgjp,@hapi/hoek,9.0.0,9.0.3,
GHSA-c4qr-gmr9-v23w,fastify-http-proxy,0,4.3.1,
GHSA-whpx-q3rq-w8jc,ses,0,0.16.0,https://github.com/endojs/endo
GHSA-7h43-gx24-p529,json8,0,1.0.3,
GHSA-jgqf-hwc5-hh37,send,0,0.11.1,https://github.com/pillarjs/send
GHSA-rhc3-76jw-4f2x,@commercial/ammo,0,2.1.1,
GHSA-6x77-rpqf-j6mw,ejs,0,2.5.5,https://github.com/mde/ejs
GHSA-p788-rj37-357w,ezseed-transmission,0.0.10,0.0.15,
GHSA-jjv7-qpx3-h62q,qs,0,1.0.0,https://github.com/visionmedia/node-querystring
GHSA-gwpf-62xp-vrg6,cordova-android,0,6.0.0,https://github.com/apache/cordova-android
GHSA-mrx7-8hxf-f853,swagger-ui,0,2.2.1,https://github.com/swagger-api/swagger-ui/
GHSA-7mc5-chhp-fmc3,negotiator,0,0.6.1,
GHSA-3c9c-2p65-qvwv,aurelia-path,0,1.1.7,https://github.com/aurelia/path
GHSA-rwx9-wqj8-vr77,expo,0,9.1.0,https://github.com/expo/expo
GHSA-pxpf-v376-7xx5,@yaireo/tagify,0,4.9.8,https://github.com/yairEO/tagify
GHSA-48gc-5j93-5cfq,serve,0,10.1.2,
GHSA-vm67-7vmg-66vm,portprocesses,0,1.0.5,
GHSA-prmc-5v5w-c465,nats,2.0.0-201,2.0.0-209,
GHSA-2mvm-66q7-m256,selenium-download,0,2.0.7,
GHSA-23r4-5mxp-c7g5,parse-server,0,4.5.2,https://github.com/parse-community/parse-server
